"subject";"activity";"domain";"instrument";"signal";"jerk";"magnitude";"measure";"count";"avg"
1;"walking";"Time";"Accelerometer";"Body";"Jerk";NA;"Mean";285;0.0327151122421053
1;"walking";"Time";"Accelerometer";"Body";"Jerk";NA;"SD";285;-0.183104296731228
1;"walking";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";95;-0.141428809031579
1;"walking";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";95;-0.0744717500625263
1;"walking";"Time";"Accelerometer";"Gravity";NA;NA;"Mean";285;0.194985105403509
1;"walking";"Time";"Accelerometer";"Gravity";NA;NA;"SD";285;-0.965210943368421
1;"walking";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"Mean";95;-0.136971176556842
1;"walking";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"SD";95;-0.219688645631579
1;"walking";"Time";"Gyroscope";NA;NA;NA;"Mean";285;-0.00880539747778947
1;"walking";"Time";"Gyroscope";NA;NA;NA;"SD";285;-0.290803294675965
1;"walking";"Time";"Gyroscope";NA;NA;"Magnitude";"Mean";95;-0.160979552536842
1;"walking";"Time";"Gyroscope";NA;NA;"Magnitude";"SD";95;-0.186978364526316
1;"walking";"Time";"Gyroscope";NA;"Jerk";NA;"Mean";285;-0.0586571142729825
1;"walking";"Time";"Gyroscope";NA;"Jerk";NA;"SD";285;-0.305381939340351
1;"walking";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";95;-0.298703679084211
1;"walking";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"SD";95;-0.325324878894737
1;"walking_downstairs";"Frequency";"Accelerometer";"Body";NA;NA;"Mean";147;-0.0619317935689796
1;"walking_downstairs";"Frequency";"Accelerometer";"Body";NA;NA;"SD";147;-0.128853598502721
1;"walking_downstairs";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"Mean";49;0.0965845343040816
1;"walking_downstairs";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"SD";49;-0.186530301073469
1;"walking_downstairs";"Frequency";"Accelerometer";"Body";"Jerk";NA;"Mean";147;-0.14822192032517
1;"walking_downstairs";"Frequency";"Accelerometer";"Body";"Jerk";NA;"SD";147;-0.207543123267823
1;"walking_downstairs";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";49;0.0262184949326531
1;"walking_downstairs";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";49;-0.104052260726531
1;"walking_downstairs";"Frequency";"Gyroscope";NA;NA;NA;"Mean";147;-0.146673770343537
1;"walking_downstairs";"Frequency";"Gyroscope";NA;NA;NA;"SD";147;-0.305093593355102
1;"walking_downstairs";"Frequency";"Gyroscope";NA;NA;"Magnitude";"Mean";49;-0.185720285744898
1;"walking_downstairs";"Frequency";"Gyroscope";NA;NA;"Magnitude";"SD";49;-0.398350390122449
1;"walking_downstairs";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";49;-0.281963359177551
1;"walking_downstairs";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"SD";49;-0.391919876612245
1;"walking_downstairs";"Time";"Accelerometer";"Body";NA;NA;"Mean";147;0.057234541629932
1;"walking_downstairs";"Time";"Accelerometer";"Body";NA;NA;"SD";147;-0.0774449394348912
1;"walking_downstairs";"Time";"Accelerometer";"Body";NA;"Magnitude";"Mean";49;0.0271882914106122
1;"walking_downstairs";"Time";"Accelerometer";"Body";NA;"Magnitude";"SD";49;0.0198843506265306
1;"walking_downstairs";"Time";"Accelerometer";"Body";"Jerk";NA;"Mean";147;0.024277930837415
1;"walking_downstairs";"Time";"Accelerometer";"Body";"Jerk";NA;"SD";147;-0.153206761170748
1;"walking_downstairs";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";49;-0.0894474807979592
1;"walking_downstairs";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";49;-0.0257877197081633
1;"walking_downstairs";"Time";"Accelerometer";"Gravity";NA;NA;"Mean";147;0.201048040468707
1;"walking_downstairs";"Time";"Accelerometer";"Gravity";NA;NA;"SD";147;-0.927839388571428
1;"walking_downstairs";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"Mean";49;0.0271882914106122
1;"walking_downstairs";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"SD";49;0.0198843506265306
1;"walking_downstairs";"Time";"Gyroscope";NA;NA;NA;"Mean";147;-0.0119767683721088
1;"walking_downstairs";"Time";"Gyroscope";NA;NA;NA;"SD";147;-0.236360730706803
1;"walking_downstairs";"Time";"Gyroscope";NA;NA;"Magnitude";"Mean";49;-0.0757412543673469
1;"walking_downstairs";"Time";"Gyroscope";NA;NA;"Magnitude";"SD";49;-0.225724368061224
1;"walking_downstairs";"Time";"Gyroscope";NA;"Jerk";NA;"Mean";147;-0.04833186269
1;"walking_downstairs";"Time";"Gyroscope";NA;"Jerk";NA;"SD";147;-0.331537883339456
1;"walking_downstairs";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";49;-0.295463843346939
1;"walking_downstairs";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"SD";49;-0.306510645530612
1;"walking_upstairs";"Frequency";"Accelerometer";"Body";NA;NA;"Mean";159;-0.342882735679245
1;"walking_upstairs";"Frequency";"Accelerometer";"Body";NA;NA;"SD";159;-0.0765673745459119
1;"walking_upstairs";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"Mean";53;-0.352395944716981
1;"walking_upstairs";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"SD";53;-0.416260101509434
1;"walking_upstairs";"Frequency";"Accelerometer";"Body";"Jerk";NA;"Mean";159;-0.526264729056604
1;"walking_upstairs";"Frequency";"Accelerometer";"Body";"Jerk";NA;"SD";159;-0.523241430628931
1;"walking_upstairs";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";53;-0.44265216245283
1;"walking_upstairs";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";53;-0.533059853773585
1;"walking_upstairs";"Frequency";"Gyroscope";NA;NA;NA;"Mean";159;-0.421894496666667
1;"walking_upstairs";"Frequency";"Gyroscope";NA;NA;NA;"SD";159;-0.32868714172956
1;"walking_upstairs";"Frequency";"Gyroscope";NA;NA;"Magnitude";"Mean";53;-0.325961457396226
1;"walking_upstairs";"Frequency";"Gyroscope";NA;NA;"Magnitude";"SD";53;-0.182985518264151
1;"walking_upstairs";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";53;-0.634665082075472
1;"walking_upstairs";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"SD";53;-0.693930521509434
1;"walking_upstairs";"Time";"Accelerometer";"Body";NA;NA;"Mean";159;0.0447355127546541
1;"walking_upstairs";"Time";"Accelerometer";"Body";NA;NA;"SD";159;-0.12550250965283
1;"walking_upstairs";"Time";"Accelerometer";"Body";NA;"Magnitude";"Mean";53;-0.129927630735849
1;"walking_upstairs";"Time";"Accelerometer";"Body";NA;"Magnitude";"SD";53;-0.324970929245283
1;"walking_upstairs";"Time";"Accelerometer";"Body";"Jerk";NA;"Mean";159;0.0250988308767296
1;"walking_upstairs";"Time";"Accelerometer";"Body";"Jerk";NA;"SD";159;-0.51057061490566
1;"walking_upstairs";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";53;-0.466503446226415
1;"walking_upstairs";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";53;-0.478991622075472
1;"walking_upstairs";"Time";"Accelerometer";"Gravity";NA;NA;"Mean";159;0.15193159781761
1;"walking_upstairs";"Time";"Accelerometer";"Gravity";NA;NA;"SD";159;-0.940531890503145
1;"walking_upstairs";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"Mean";53;-0.129927630735849
1;"walking_upstairs";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"SD";53;-0.324970929245283
1;"walking_upstairs";"Time";"Gyroscope";NA;NA;NA;"Mean";159;-0.019087029645283
1;"walking_upstairs";"Time";"Gyroscope";NA;NA;NA;"SD";159;-0.349311531878616
1;"walking_upstairs";"Time";"Gyroscope";NA;NA;"Magnitude";"Mean";53;-0.126735589969811
1;"walking_upstairs";"Time";"Gyroscope";NA;NA;"Magnitude";"SD";53;-0.14861931805283
1;"walking_upstairs";"Time";"Gyroscope";NA;"Jerk";NA;"Mean";159;-0.0683646364092453
1;"walking_upstairs";"Time";"Gyroscope";NA;"Jerk";NA;"SD";159;-0.607605055660377
1;"walking_upstairs";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";53;-0.59488286509434
1;"walking_upstairs";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"SD";53;-0.648553044339623
2;"laying";"Frequency";"Accelerometer";"Body";NA;NA;"Mean";144;-0.980302306527778
2;"laying";"Frequency";"Accelerometer";"Body";NA;NA;"SD";144;-0.979687924236111
2;"laying";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"Mean";48;-0.975110196458333
2;"laying";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"SD";48;-0.975121387916667
2;"laying";"Frequency";"Accelerometer";"Body";"Jerk";NA;"Mean";144;-0.984926338611111
2;"laying";"Frequency";"Accelerometer";"Body";"Jerk";NA;"SD";144;-0.987194339097222
2;"laying";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";48;-0.985374114791667
2;"laying";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";48;-0.984568489166667
2;"laying";"Frequency";"Gyroscope";NA;NA;NA;"Mean";144;-0.977474888472222
2;"laying";"Frequency";"Gyroscope";NA;NA;NA;"SD";144;-0.977981841527778
2;"laying";"Frequency";"Gyroscope";NA;NA;"Magnitude";"Mean";48;-0.972112972708333
2;"laying";"Frequency";"Gyroscope";NA;NA;"Magnitude";"SD";48;-0.96109837875
2;"laying";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";48;-0.990248702291667
2;"laying";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"SD";48;-0.989492660416667
2;"laying";"Time";"Accelerometer";"Body";NA;NA;"Mean";144;0.0519896845944444
2;"laying";"Time";"Accelerometer";"Body";NA;NA;"SD";144;-0.979523386805556
2;"laying";"Time";"Accelerometer";"Body";NA;"Magnitude";"Mean";48;-0.977435485208333
2;"laying";"Time";"Accelerometer";"Body";NA;"Magnitude";"SD";48;-0.972873912916667
2;"laying";"Time";"Accelerometer";"Body";"Jerk";NA;"Mean";144;0.0310164635540972
2;"laying";"Time";"Accelerometer";"Body";"Jerk";NA;"SD";144;-0.985828908125
2;"laying";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";48;-0.987741696041667
2;"laying";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";48;-0.98551807625
2;"laying";"Time";"Accelerometer";"Gravity";NA;NA;"Mean";144;0.296539093611111
2;"laying";"Time";"Accelerometer";"Gravity";NA;NA;"SD";144;-0.977152241597222
2;"laying";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"Mean";48;-0.977435485208333
2;"laying";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"SD";48;-0.972873912916667
2;"laying";"Time";"Gyroscope";NA;NA;NA;"Mean";144;0.00486847159027778
2;"laying";"Time";"Gyroscope";NA;NA;NA;"SD";144;-0.976957800763889
2;"laying";"Time";"Gyroscope";NA;NA;"Magnitude";"Mean";48;-0.950011569583333
2;"laying";"Time";"Gyroscope";NA;NA;"Magnitude";"SD";48;-0.961164053958333
2;"laying";"Time";"Gyroscope";NA;"Jerk";NA;"Mean";144;-0.0693371513
2;"laying";"Time";"Gyroscope";NA;"Jerk";NA;"SD";144;-0.990279736111111
2;"laying";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";48;-0.991767074166667
2;"laying";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"SD";48;-0.989718095208333
2;"sitting";"Frequency";"Accelerometer";"Body";NA;NA;"Mean";138;-0.97110317057971
2;"sitting";"Frequency";"Accelerometer";"Body";NA;NA;"SD";138;-0.964766236086957
2;"sitting";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"Mean";46;-0.96127374826087
2;"sitting";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"SD";46;-0.955575602173913
2;"sitting";"Frequency";"Accelerometer";"Body";"Jerk";NA;"Mean";138;-0.98337251557971
2;"sitting";"Frequency";"Accelerometer";"Body";"Jerk";NA;"SD";138;-0.986278046666667
2;"sitting";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";46;-0.983874698913043
2;"sitting";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";46;-0.984124185869565
2;"sitting";"Frequency";"Gyroscope";NA;NA;NA;"Mean";138;-0.974845711884058
2;"sitting";"Frequency";"Gyroscope";NA;NA;NA;"SD";138;-0.975895783333333
2;"sitting";"Frequency";"Gyroscope";NA;NA;"Magnitude";"Mean";46;-0.971840596086956
2;"sitting";"Frequency";"Gyroscope";NA;NA;"Magnitude";"SD";46;-0.961385745217391
2;"sitting";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";46;-0.989861950869565
2;"sitting";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"SD";46;-0.989632908913043
2;"sitting";"Time";"Accelerometer";"Body";NA;NA;"Mean";138;0.0507270285181159
2;"sitting";"Time";"Accelerometer";"Body";NA;NA;"SD";138;-0.965784983478261
2;"sitting";"Time";"Accelerometer";"Body";NA;"Magnitude";"Mean";46;-0.967893623913043
2;"sitting";"Time";"Accelerometer";"Body";NA;"Magnitude";"SD";46;-0.953081444130435
2;"sitting";"Time";"Accelerometer";"Body";"Jerk";NA;"Mean";138;0.0305191197161594
2;"sitting";"Time";"Accelerometer";"Body";"Jerk";NA;"SD";138;-0.984519340434783
2;"sitting";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";46;-0.986774713043478
2;"sitting";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";46;-0.984475868043478
2;"sitting";"Time";"Accelerometer";"Gravity";NA;NA;"Mean";138;0.344524672435188
2;"sitting";"Time";"Accelerometer";"Gravity";NA;NA;"SD";138;-0.963718302318841
2;"sitting";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"Mean";46;-0.967893623913043
2;"sitting";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"SD";46;-0.953081444130435
2;"sitting";"Time";"Gyroscope";NA;NA;NA;"Mean";138;-0.0213905318434783
2;"sitting";"Time";"Gyroscope";NA;NA;NA;"SD";138;-0.974821754492754
2;"sitting";"Time";"Gyroscope";NA;NA;"Magnitude";"Mean";46;-0.946035087173913
2;"sitting";"Time";"Gyroscope";NA;NA;"Magnitude";"SD";46;-0.961313624130435
2;"sitting";"Time";"Gyroscope";NA;"Jerk";NA;"Mean";138;-0.0595927136152174
2;"sitting";"Time";"Gyroscope";NA;"Jerk";NA;"SD";138;-0.988713654492754
2;"sitting";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";46;-0.991081493913044
2;"sitting";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"SD";46;-0.989594919565217
2;"standing";"Frequency";"Accelerometer";"Body";NA;NA;"Mean";162;-0.968763210987654
2;"standing";"Frequency";"Accelerometer";"Body";NA;NA;"SD";162;-0.964466298518519
2;"standing";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"Mean";54;-0.964052166481481
2;"standing";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"SD";54;-0.960519381481482
2;"standing";"Frequency";"Accelerometer";"Body";"Jerk";NA;"Mean";162;-0.977199910555556
2;"standing";"Frequency";"Accelerometer";"Body";"Jerk";NA;"SD";162;-0.980376023333333
2;"standing";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";54;-0.977065295555556
2;"standing";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";54;-0.97516046
2;"standing";"Frequency";"Gyroscope";NA;NA;NA;"Mean";162;-0.966746987037037
2;"standing";"Frequency";"Gyroscope";NA;NA;NA;"SD";162;-0.97192615691358
2;"standing";"Frequency";"Gyroscope";NA;NA;"Magnitude";"Mean";54;-0.961775904814815
2;"standing";"Frequency";"Gyroscope";NA;NA;"Magnitude";"SD";54;-0.956788725740741
